#v / cm^-1	Intensity / AU
2903	2.15E-05
2902	2.16E-05
2901	2.16E-05
2900	2.16E-05
2899	2.16E-05
2898	2.17E-05
2897	2.17E-05
2896	2.17E-05
2895	2.17E-05
2894	2.17E-05
2893	2.18E-05
2892	2.18E-05
2891	2.18E-05
2890	2.18E-05
2889	2.19E-05
2888	2.19E-05
2887	2.19E-05
2886	2.19E-05
2885	2.20E-05
2884	2.20E-05
2883	2.20E-05
2882	2.20E-05
2881	2.20E-05
2880	2.21E-05
2879	2.21E-05
2878	2.21E-05
2877	2.21E-05
2876	2.22E-05
2875	2.22E-05
2874	2.22E-05
2873	2.22E-05
2872	2.23E-05
2871	2.23E-05
2870	2.23E-05
2869	2.23E-05
2868	2.24E-05
2867	2.24E-05
2866	2.24E-05
2865	2.25E-05
2864	2.25E-05
2863	2.25E-05
2862	2.25E-05
2861	2.26E-05
2860	2.26E-05
2859	2.26E-05
2858	2.26E-05
2857	2.27E-05
2856	2.27E-05
2855	2.27E-05
2854	2.27E-05
2853	2.28E-05
2852	2.28E-05
2851	2.28E-05
2850	2.29E-05
2849	2.29E-05
2848	2.29E-05
2847	2.29E-05
2846	2.30E-05
2845	2.30E-05
2844	2.30E-05
2843	2.31E-05
2842	2.31E-05
2841	2.31E-05
2840	2.31E-05
2839	2.32E-05
2838	2.32E-05
2837	2.32E-05
2836	2.33E-05
2835	2.33E-05
2834	2.33E-05
2833	2.33E-05
2832	2.34E-05
2831	2.34E-05
2830	2.34E-05
2829	2.35E-05
2828	2.35E-05
2827	2.35E-05
2826	2.36E-05
2825	2.36E-05
2824	2.36E-05
2823	2.36E-05
2822	2.37E-05
2821	2.37E-05
2820	2.37E-05
2819	2.38E-05
2818	2.38E-05
2817	2.38E-05
2816	2.39E-05
2815	2.39E-05
2814	2.39E-05
2813	2.40E-05
2812	2.40E-05
2811	2.40E-05
2810	2.41E-05
2809	2.41E-05
2808	2.41E-05
2807	2.42E-05
2806	2.42E-05
2805	2.42E-05
2804	2.42E-05
2803	2.43E-05
2802	2.43E-05
2801	2.43E-05
2800	2.44E-05
2799	2.44E-05
2798	2.44E-05
2797	2.45E-05
2796	2.45E-05
2795	2.45E-05
2794	2.46E-05
2793	2.46E-05
2792	2.46E-05
2791	2.47E-05
2790	2.47E-05
2789	2.47E-05
2788	2.48E-05
2787	2.48E-05
2786	2.49E-05
2785	2.49E-05
2784	2.49E-05
2783	2.50E-05
2782	2.50E-05
2781	2.50E-05
2780	2.51E-05
2779	2.51E-05
2778	2.51E-05
2777	2.52E-05
2776	2.52E-05
2775	2.52E-05
2774	2.53E-05
2773	2.53E-05
2772	2.53E-05
2771	2.54E-05
2770	2.54E-05
2769	2.54E-05
2768	2.55E-05
2767	2.55E-05
2766	2.56E-05
2765	2.56E-05
2764	2.56E-05
2763	2.57E-05
2762	2.57E-05
2761	2.57E-05
2760	2.58E-05
2759	2.58E-05
2758	2.58E-05
2757	2.59E-05
2756	2.59E-05
2755	2.60E-05
2754	2.60E-05
2753	2.60E-05
2752	2.61E-05
2751	2.61E-05
2750	2.61E-05
2749	2.62E-05
2748	2.62E-05
2747	2.63E-05
2746	2.63E-05
2745	2.63E-05
2744	2.64E-05
2743	2.64E-05
2742	2.65E-05
2741	2.65E-05
2740	2.65E-05
2739	2.66E-05
2738	2.66E-05
2737	2.67E-05
2736	2.67E-05
2735	2.67E-05
2734	2.68E-05
2733	2.68E-05
2732	2.68E-05
2731	2.69E-05
2730	2.69E-05
2729	2.70E-05
2728	2.70E-05
2727	2.70E-05
2726	2.71E-05
2725	2.71E-05
2724	2.72E-05
2723	2.72E-05
2722	2.73E-05
2721	2.73E-05
2720	2.73E-05
2719	2.74E-05
2718	2.74E-05
2717	2.75E-05
2716	2.75E-05
2715	2.75E-05
2714	2.76E-05
2713	2.76E-05
2712	2.77E-05
2711	2.77E-05
2710	2.78E-05
2709	2.78E-05
2708	2.78E-05
2707	2.79E-05
2706	2.79E-05
2705	2.80E-05
2704	2.80E-05
2703	2.80E-05
2702	2.81E-05
2701	2.81E-05
2700	2.82E-05
2699	2.82E-05
2698	2.83E-05
2697	2.83E-05
2696	2.84E-05
2695	2.84E-05
2694	2.84E-05
2693	2.85E-05
2692	2.85E-05
2691	2.86E-05
2690	2.86E-05
2689	2.87E-05
2688	2.87E-05
2687	2.88E-05
2686	2.88E-05
2685	2.88E-05
2684	2.89E-05
2683	2.89E-05
2682	2.90E-05
2681	2.90E-05
2680	2.91E-05
2679	2.91E-05
2678	2.92E-05
2677	2.92E-05
2676	2.93E-05
2675	2.93E-05
2674	2.93E-05
2673	2.94E-05
2672	2.94E-05
2671	2.95E-05
2670	2.95E-05
2669	2.96E-05
2668	2.96E-05
2667	2.97E-05
2666	2.97E-05
2665	2.98E-05
2664	2.98E-05
2663	2.99E-05
2662	2.99E-05
2661	3.00E-05
2660	3.00E-05
2659	3.01E-05
2658	3.01E-05
2657	3.01E-05
2656	3.02E-05
2655	3.02E-05
2654	3.03E-05
2653	3.03E-05
2652	3.04E-05
2651	3.04E-05
2650	3.05E-05
2649	3.05E-05
2648	3.06E-05
2647	3.06E-05
2646	3.07E-05
2645	3.07E-05
2644	3.08E-05
2643	3.08E-05
2642	3.09E-05
2641	3.09E-05
2640	3.10E-05
2639	3.10E-05
2638	3.11E-05
2637	3.11E-05
2636	3.12E-05
2635	3.12E-05
2634	3.13E-05
2633	3.14E-05
2632	3.14E-05
2631	3.15E-05
2630	3.15E-05
2629	3.16E-05
2628	3.16E-05
2627	3.17E-05
2626	3.17E-05
2625	3.18E-05
2624	3.18E-05
2623	3.19E-05
2622	3.19E-05
2621	3.20E-05
2620	3.20E-05
2619	3.21E-05
2618	3.21E-05
2617	3.22E-05
2616	3.23E-05
2615	3.23E-05
2614	3.24E-05
2613	3.24E-05
2612	3.25E-05
2611	3.25E-05
2610	3.26E-05
2609	3.26E-05
