"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"182","785.8719","0.0","0.0"
"183","798.8916","0.0","0.0"
"184","798.893","0.0","0.0"
"185","809.6091","0.0124","0.0"
"186","809.6091","0.0124","0.0"
"187","809.6092","0.0124","0.0"
"188","809.7866","0.0","0.0"
"189","809.7867","0.0","0.0"
"190","809.7868","0.0","0.0"
"191","815.9838","0.0041","0.0"
"192","815.9839","0.0041","0.0"
"193","815.984","0.0041","0.0"
"194","822.9595","0.0","0.0147"
"195","825.9153","0.0","0.0"
"196","825.9153","0.0","0.0"
"197","841.3166","0.9159","0.0"
"198","841.3171","0.9159","0.0"
"199","841.3172","0.9159","0.0"
"200","860.4726","0.0","0.0077"
"201","878.0605","0.0","0.0"
"202","878.0605","0.0","0.0"
"203","879.7251","0.0294","0.0"
"204","879.7251","0.0294","0.0"
"205","879.7252","0.0294","0.0"
"206","886.3243","0.0","0.0"
"207","886.3245","0.0","0.0"
"208","886.3248","0.0","0.0"
"209","886.9378","0.0","0.0012"
"210","887.7862","0.0008","0.0"
"211","887.7866","0.0008","0.0"
"212","887.7868","0.0008","0.0"
"213","925.3819","0.0","0.0"
"214","925.3819","0.0","0.0"
"215","925.3821","0.0","0.0"
"216","925.9919","0.0248","0.0"
"217","925.992","0.0248","0.0"
"218","925.9921","0.0248","0.0"
"219","957.4075","0.0","0.0"
"220","957.4075","0.0","0.0"
"221","957.4077","0.0","0.0"
"222","960.443","0.0127","0.0"
"223","960.4431","0.0127","0.0"
"224","960.4433","0.0127","0.0"
"225","964.4289","0.0","0.0"
"226","964.4292","0.0","0.0"
"227","964.4293","0.0","0.0"
"228","968.9204","0.0003","0.0"
"229","968.9205","0.0003","0.0"
"230","968.9208","0.0003","0.0"
"231","992.2777","0.0","0.0"
"232","992.2779","0.0","0.0"
"233","992.6941","0.0","0.0"
"234","992.6945","0.0","0.0"
"235","992.6945","0.0","0.0"
"236","994.0252","0.0","0.1596"
"237","1019.6978","0.0","0.0"
"238","1020.2517","0.0","0.0"
"239","1020.252","0.0","0.0"
"240","1020.2521","0.0","0.0"
"241","1020.4671","0.0","0.0"
"242","1020.4673","0.0","0.0"
"243","1152.4355","0.0","0.0"
"244","1152.436","0.0","0.0"
"245","1153.6483","0.0","0.0"
"246","1154.1542","0.0","0.0"
"247","1154.1544","0.0","0.0"
"248","1154.1544","0.0","0.0"
"249","1155.1649","0.0","0.0"
"250","1155.1651","0.0","0.0"
"251","1157.7116","0.2832","0.0"
"252","1157.7122","0.2832","0.0"
"253","1157.7123","0.2832","0.0"
"254","1165.7156","0.0","0.0"
"255","1167.9874","0.0","0.0"
"256","1167.9876","0.0","0.0"
"257","1167.9878","0.0","0.0"
"258","1176.0087","0.0013","0.0"
"259","1176.0091","0.0013","0.0"
"260","1176.0093","0.0013","0.0"
"261","1212.9313","0.0","0.0"
"262","1212.9313","0.0","0.0"
"263","1212.9314","0.0","0.0"
"264","1213.9972","0.0022","0.0"
"265","1213.9972","0.0022","0.0"
"266","1213.9973","0.0022","0.0"
"267","1291.1859","0.0","0.0"
"268","1291.186","0.0","0.0"
"269","1291.1861","0.0","0.0"
"270","1300.9783","0.4646","0.0"
"271","1300.9784","0.4646","0.0"
"272","1300.9786","0.4646","0.0"
"273","1329.1425","0.0","0.0"
"274","1329.1427","0.0","0.0"
"275","1331.6943","0.0106","0.0"
"276","1331.6946","0.0106","0.0"
"277","1331.6946","0.0106","0.0"
"278","1355.4615","0.0","0.3858"
"279","1396.9655","0.0","0.0"
"280","1397.2823","0.0","0.0"
"281","1397.2823","0.0","0.0"
"282","1397.2823","0.0","0.0"
"283","1397.8687","0.0","0.0"
"284","1397.8688","0.0","0.0"
"285","1406.9318","0.0","0.0"
"286","1406.9318","0.0","0.0"
"287","1406.932","0.0","0.0"
"288","1411.7365","0.1846","0.0"
"289","1411.7366","0.1846","0.0"
"290","1411.7367","0.1846","0.0"
"291","1421.8482","0.0","0.0"
"292","1421.8483","0.0","0.0"
"293","1421.8483","0.0","0.0"
"294","1422.326","0.0263","0.0"
"295","1422.326","0.0263","0.0"
"296","1422.3261","0.0263","0.0"
"297","1488.1979","0.0","0.0"
"298","1488.198","0.0","0.0"
"299","1488.5024","0.0004","0.0"
"300","1488.5025","0.0004","0.0"
"301","1488.5026","0.0004","0.0"
"302","1490.7209","0.0","0.0792"
"303","1616.4364","0.0","0.0"
"304","1619.6462","0.0","0.0"
"305","1619.6463","0.0","0.0"
"306","1619.6464","0.0","0.0"
"307","1625.1857","0.0","0.0"
"308","1625.1858","0.0","0.0"
"309","1625.1859","0.0","0.0"
"310","1639.3847","0.8925","0.0"
"311","1639.3848","0.8925","0.0"
"312","1639.3848","0.8925","0.0"
"313","1642.4843","0.0","0.0"
"314","1642.4844","0.0","0.0"
"315","2944.2087","0.0","0.0"
"316","2944.4078","0.0","0.0"
"317","2944.4078","0.0","0.0"
"318","2944.4078","0.0","0.0"
"319","2944.4716","0.0","0.0"
"320","2944.4716","0.0","0.0"
"321","2944.4716","0.0","0.0"
"322","2944.7067","0.0976","0.0"
"323","2944.7067","0.0976","0.0"
"324","2944.7067","0.0976","0.0"
"325","2944.754","0.0","0.0"
"326","2944.754","0.0","0.0"
"327","2944.754","0.0","0.0"
"328","2944.7815","0.0","0.0"
"329","2944.7815","0.0","0.0"
"330","2945.3264","0.0019","0.0"
"331","2945.3265","0.0019","0.0"
"332","2945.3265","0.0019","0.0"
"333","2945.9714","0.0","0.0"
"334","2945.9714","0.0","0.0"
"335","2946.0178","0.0003","0.0"
"336","2946.0178","0.0003","0.0"
"337","2946.0178","0.0003","0.0"
"338","2946.5561","0.0","8.1816"
"339","3688.9291","0.0615","0.0"
"340","3688.9293","0.0615","0.0"
"341","3688.9294","0.0615","0.0"
"342","3691.6111","0.0","1.1011"
