"v / cm^-1","Intensity / AU"
"3179.0","5.629358825879133e-05"
"3178.0","5.77099282416055e-05"
"3177.0","5.919834279873356e-05"
"3176.0","6.0764005937018275e-05"
"3175.0","6.241257622851019e-05"
"3174.0","6.41502533678236e-05"
"3173.0","6.598384269163382e-05"
"3172.0","6.792082897941705e-05"
"3171.0","6.996946110685945e-05"
"3170.0","7.21388494305805e-05"
"3169.0","7.443907815835525e-05"
"3168.0","7.688133541994228e-05"
"3167.0","7.947806432175554e-05"
"3166.0","8.224313897196805e-05"
"3165.0","8.519207033737531e-05"
"3164.0","8.834224788639108e-05"
"3163.0","9.171322434511266e-05"
"3162.0","9.532705262576042e-05"
"3161.0","9.920868618489837e-05"
"3160.0","0.00010338645687324962"
"3159.0","0.00010789264793734783"
"3158.0","0.00011276418447791076"
"3157.0","0.00011804346970176867"
"3156.0","0.00012377940318770907"
"3155.0","0.00013002862775797293"
"3154.0","0.0001368570652842596"
"3153.0","0.00014434182007949702"
"3152.0","0.0001525735531399924"
"3151.0","0.0001616594638081413"
"3150.0","0.000171727060825302"
"3149.0","0.00018292896708353156"
"3148.0","0.0001954490885983544"
"3147.0","0.00020951059826582714"
"3146.0","0.00022538635312576387"
"3145.0","0.00024341260056343422"
"3144.0","0.0002640071630380106"
"3143.0","0.00028769376240055057"
"3142.0","0.00031513480597391354"
"3141.0","0.00034717586860541657"
"3140.0","0.0003849063190461494"
"3139.0","0.0004297420335460073"
"3138.0","0.0004835376421273487"
"3137.0","0.00054873627140542"
"3136.0","0.0006285613885344455"
"3135.0","0.0007272404912864378"
"3134.0","0.0008502054552373931"
"3133.0","0.001004098478005809"
"3132.0","0.001196152442911344"
"3131.0","0.0014320445312136275"
"3130.0","0.0017108490058116363"
"3129.0","0.0020164445347785913"
"3128.0","0.0023091459294888976"
"3127.0","0.0025287659611023124"
"3126.0","0.00261837253621818"
"3125.0","0.002556318987599269"
"3124.0","0.002368961066824976"
"3123.0","0.0021139779999316977"
"3122.0","0.0018500785668216137"
"3121.0","0.0016162077417603098"
"3120.0","0.0014290419819279266"
"3119.0","0.0012908192269269927"
"3118.0","0.0011976049023636102"
"3117.0","0.0011443260368751904"
"3116.0","0.0011270536051272448"
"3115.0","0.0011438283458794518"
"3114.0","0.001194909078993407"
"3113.0","0.001282846192980058"
"3112.0","0.0014124538261824986"
"3111.0","0.0015904667090895538"
"3110.0","0.0018242925390956678"
"3109.0","0.002118867105687683"
"3108.0","0.0024709523208626166"
"3107.0","0.0028631076172752337"
"3106.0","0.003264627934429269"
"3105.0","0.003644191054487"
"3104.0","0.003981114193489306"
"3103.0","0.0042542495848337586"
"3102.0","0.0044171055873497445"
"3101.0","0.0044008402397802135"
"3100.0","0.004164166942178024"
"3099.0","0.003740707122209936"
"3098.0","0.0032234485626662208"
"3097.0","0.0027064725458596107"
"3096.0","0.0022466970945402977"
"3095.0","0.0018634114953595146"
"3094.0","0.0015539147551757557"
"3093.0","0.0013070182655035016"
"3092.0","0.001110241892273198"
"3091.0","0.000952607346659325"
"3090.0","0.0008252987284042085"
"3089.0","0.0007215086673880676"
"3088.0","0.0006360615364822518"
"3087.0","0.0005650360470614618"
"3086.0","0.0005054527574419441"
"3085.0","0.00045503369373997685"
"3084.0","0.00041202326363580787"
"3083.0","0.00037505655218761553"
"3082.0","0.00034306276910236143"
"3081.0","0.00031519430982078847"
"3080.0","0.00029077436374073983"
"3079.0","0.00026925795372135586"
"3078.0","0.00025020273824015595"
"3077.0","0.00023324695081726528"
"3076.0","0.0002180925937982986"
"3075.0","0.00020449252976835328"
"3074.0","0.000192240486999544"
"3073.0","0.00018116326086573415"
"3072.0","0.00017111458311603036"
"3071.0","0.00016197026765104032"
"3070.0","0.0001536243405759066"
"3069.0","0.00014598593468082035"
"3068.0","0.00013897678173079202"
"3067.0","0.0001325291753830468"
"3066.0","0.00012658430697840828"
"3065.0","0.00012109089856789672"
"3064.0","0.00011600407426945412"
"3063.0","0.0001112844237962862"
"3062.0","0.0001068972217706304"
"3061.0","0.00010281177397564428"
"3060.0","9.90008675490732e-05"
"3059.0","9.544030668968892e-05"
"3058.0","9.210851903275047e-05"
"3057.0","8.898622068024783e-05"
"3056.0","8.60561301163325e-05"
"3055.0","8.33027230278867e-05"
"3054.0","8.071202148377005e-05"
"3053.0","7.827141208000743e-05"
"3052.0","7.59694885908306e-05"
"3051.0","7.379591542264363e-05"
"3050.0","7.174130878521618e-05"
"3049.0","6.979713299958621e-05"
"3048.0","6.795560977719961e-05"
"3047.0","6.620963864708188e-05"
"3046.0","6.4552726991096e-05"
"3045.0","6.297892838257299e-05"
"3044.0","6.148278811960646e-05"
"3043.0","6.0059295008146216e-05"
"3042.0","5.8703838587414844e-05"
"3041.0","5.741217110572231e-05"
"3040.0","5.618037365222704e-05"
"3039.0","5.500482593264104e-05"
"3038.0","5.388217924681769e-05"
"3037.0","5.280933228563913e-05"
"3036.0","5.178340941534041e-05"
"3035.0","5.080174116076073e-05"
"3034.0","4.9861846636160405e-05"
"3033.0","4.896141770415001e-05"
"3032.0","4.8098304670744185e-05"
"3031.0","4.7270503348251e-05"
"3030.0","4.647614333819665e-05"
"3029.0","4.571347740423772e-05"
"3028.0","4.4980871820426195e-05"
"3027.0","4.42767975936005e-05"
"3026.0","4.359982247036211e-05"
"3025.0","4.294860364930095e-05"
"3024.0","4.232188112806239e-05"
"3023.0","4.17184716226702e-05"
"3022.0","4.113726300338991e-05"
"3021.0","4.05772091974569e-05"
"3020.0","4.00373255143135e-05"
"3019.0","3.9516684353693925e-05"
"3018.0","3.901441126104295e-05"
"3017.0","3.852968129842601e-05"
"3016.0","3.8061715702340255e-05"
"3015.0","3.760977880272521e-05"
"3014.0","3.7173175180037703e-05"
"3013.0","3.67512470395405e-05"
"3012.0","3.634337178399033e-05"
"3011.0","3.594895976772901e-05"
"3010.0","3.556745221680463e-05"
"3009.0","3.519831930120368e-05"
"3008.0","3.484105834657653e-05"
"3007.0","3.449519217400695e-05"
"3006.0","3.4160267557424483e-05"
"3005.0","3.3835853789202075e-05"
"3004.0","3.352154134532972e-05"
"3003.0","3.321694064231971e-05"
"3002.0","3.292168087868893e-05"
"3001.0","3.2635408954487226e-05"
"3000.0","3.235778846290324e-05"
"2999.0","3.208849874848963e-05"
"2998.0","3.1827234027010565e-05"
"2997.0","3.157370256233382e-05"
"2996.0","3.1327625896168776e-05"
"2995.0","3.108873812679782e-05"
"2994.0","3.08567852332619e-05"
"2993.0","3.06315244417463e-05"
"2992.0","3.0412723631174638e-05"
"2991.0","3.0200160775253576e-05"
"2990.0","2.9993623418430244e-05"
"2989.0","2.979290818341963e-05"
"2988.0","2.959782030814188e-05"
"2987.0","2.9408173210073173e-05"
"2986.0","2.9223788076166663e-05"
"2985.0","2.90444934766373e-05"
"2984.0","2.887012500103315e-05"
"2983.0","2.870052491513065e-05"
"2982.0","2.853554183730047e-05"
"2981.0","2.8375030433087116e-05"
"2980.0","2.8218851126837967e-05"
"2979.0","2.806686982929908e-05"
