"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"181","576.2322","0.6193","0.0"
"182","576.2337","0.6193","0.0"
"183","577.7746","0.0","0.0163"
"184","587.8115","0.0513","0.0"
"185","588.6614","0.0005","0.0"
"186","588.6639","0.0005","0.0"
"187","592.6933","0.0","0.0"
"188","598.1644","0.0","0.0"
"189","598.6316","0.0","0.0"
"190","601.1448","0.0496","0.0"
"191","601.1474","0.0495","0.0"
"192","605.9866","0.0","0.0"
"193","627.3144","0.0","0.0002"
"194","630.0615","0.8319","0.0"
"195","640.0909","0.0","0.0"
"196","641.7597","0.0339","0.0"
"197","641.7647","0.0339","0.0"
"198","642.5649","0.0692","0.0"
"199","645.8672","0.0","0.0"
"200","645.9386","0.0413","0.0"
"201","645.9389","0.0413","0.0"
"202","647.6447","1.3236","0.0"
"203","651.0959","0.0","0.0017"
"204","653.3183","0.1526","0.0"
"205","653.3205","0.1523","0.0"
"206","653.8101","0.0","0.0"
"207","658.2355","0.0","0.0"
"208","658.6993","0.0","0.0028"
"209","664.1841","0.1905","0.0"
"210","664.1868","0.1902","0.0"
"211","668.6053","0.0","0.0"
"212","668.6971","0.054","0.0"
"213","669.6841","0.3249","0.0"
"214","669.6866","0.3252","0.0"
"215","672.3365","0.0","0.001"
"216","676.3153","0.0","0.0"
"217","681.1487","0.0059","0.0"
"218","681.1495","0.0059","0.0"
"219","684.0499","0.0001","0.0"
"220","696.3955","0.0","1.2215"
"221","696.8163","0.0399","0.0"
"222","696.8174","0.0399","0.0"
"223","699.3568","0.0605","0.0"
"224","699.3573","0.0605","0.0"
"225","700.9145","0.0","0.0"
"226","705.4408","0.1089","0.0"
"227","705.4429","0.109","0.0"
"228","709.5437","0.0","0.0"
"229","711.6263","0.2766","0.0"
"230","713.6302","0.0","3.4663"
"231","725.964","0.0","0.0"
"232","734.0481","0.0","0.0"
"233","736.4656","0.0013","0.0"
"234","736.4659","0.0013","0.0"
"235","744.7166","0.0221","0.0"
"236","744.717","0.0221","0.0"
"237","747.2603","0.0","0.0"
"238","752.5789","0.0","0.0332"
"239","760.2699","0.0","0.008"
"240","763.6969","0.0093","0.0"
"241","763.6975","0.0093","0.0"
"242","766.5803","0.0","0.0"
"243","769.0641","0.0","0.0"
"244","776.1957","0.0129","0.0"
"245","776.1961","0.0129","0.0"
"246","778.025","0.0","0.0"
"247","778.5","0.0358","0.0"
"248","786.8941","0.0145","0.0"
"249","786.8959","0.0145","0.0"
"250","791.2998","0.0609","0.0"
"251","791.3003","0.0609","0.0"
