"v / cm^-1","IR Intensity / AU","Raman Intensity / AU"
"-100.0","0.00025527301413556222","5.2195783039671052e-05"
"-99.0","0.0002561233854987368","5.2347120312865883e-05"
"-98.0","0.00025697904550774271","5.249926005343419e-05"
"-97.0","0.0002578400502829118","5.2652209385408612e-05"
"-96.0","0.00025870645689983729","5.2805975531253163e-05"
"-95.0","0.00025957832341371091","5.2960565813794541e-05"
"-94.0","0.00026045570888451656","5.3115987658203264e-05"
"-93.0","0.00026133867340312017","5.3272248594026977e-05"
"-92.0","0.000262227278118298","5.3429356257276852e-05"
"-91.0","0.00026312158526474303","5.3587318392570013e-05"
"-90.0","0.00026402165819210105","5.3746142855328353e-05"
"-89.0","0.00026492756139507434","5.390583761403749e-05"
"-88.0","0.00026583936054465888","5.406641075256619e-05"
"-87.0","0.000266757122520551","5.422787047254983e-05"
"-86.0","0.00026768091544479805","5.4390225095839083e-05"
"-85.0","0.00026861080871673856","5.4553483067017097e-05"
"-84.0","0.0002695468730493055","5.4717652955986553e-05"
"-83.0","0.00027048918050675495","5.488274346063055e-05"
"-82.0","0.00027143780454389388","5.5048763409548391e-05"
"-81.0","0.00027239282004688168","5.5215721764870756e-05"
"-80.0","0.00027335430337568862","5.5383627625155591e-05"
"-79.0","0.00027432233240829199","5.5552490228369318e-05"
"-78.0","0.00027529698658670444","5.5722318954955559e-05"
"-77.0","0.00027627834696493121","5.5893123330995076e-05"
"-76.0","0.00027726649625895306","5.6064913031460872e-05"
"-75.0","0.00027826151889885376","5.6237697883571608e-05"
"-74.0","0.00027926350108319796","5.641148787024793e-05"
"-73.0","0.0002802725308357886","5.6586293133675336e-05"
"-72.0","0.00028128869806493673","5.6762123978978474e-05"
"-71.0","0.00028231209462537801","5.6938990878010701e-05"
"-70.0","0.00028334281438299085","5.7116904473265124e-05"
"-69.0","0.00028438095328247481","5.7295875581911025e-05"
"-68.0","0.00028542660941816028","5.7475915199961254e-05"
"-67.0","0.00028647988310812712","5.7657034506577514e-05"
"-66.0","0.00028754087697183546","5.7839244868517911e-05"
"-65.0","0.00028860969601146857","5.8022557844734803e-05"
"-64.0","0.00028968644769722135","5.8206985191128356e-05"
"-63.0","0.00029077124205675913","5.8392538865464483e-05"
"-62.0","0.00029186419176912187","5.8579231032463169e-05"
"-61.0","0.00029296541226333091","5.8767074069067423e-05"
"-60.0","0.00029407502182200734","5.8956080569899062e-05"
"-59.0","0.00029519314169031125","5.9146263352913051e-05"
"-58.0","0.00029631989619054714","5.9337635465258042e-05"
"-57.0","0.00029745541284280092","5.9530210189355315e-05"
"-56.0","0.00029859982249200504","5.9724001049205766e-05"
"-55.0","0.000299753259441854","5.9919021816938433e-05"
"-54.0","0.00030091586159603607","6.0115286519611567e-05"
"-53.0","0.00030208777060726835","6.0312809446281698e-05"
"-52.0","0.00030326913203467632","6.0511605155353465e-05"
"-51.0","0.00030446009551009457","6.0711688482227774e-05"
"-50.0","0.000305660814913907","6.0913074547263068e-05"
"-49.0","0.00030687144856111757","6.1115778764069399e-05"
"-48.0","0.00030809215939836705","6.1319816848154221e-05"
"-47.0","0.00030932311521270604","6.1525204825940041e-05"
"-46.0","0.00031056448885297458","6.1731959044177822e-05"
"-45.0","0.00031181645846473148","6.1940096179779168e-05"
"-44.0","0.00031307920773975071","6.2149633250094659e-05"
"-43.0","0.00031435292618118801","6.2360587623665973e-05"
"-42.0","0.00031563780938563026","6.2572977031483072e-05"
"-41.0","0.00031693405934333428","6.2786819578779644e-05"
"-40.0","0.00031824188475809912","6.3002133757403297e-05"
"-39.0","0.00031956150138832701","6.3218938458799796e-05"
"-38.0","0.00032089313241099172","6.3437252987654395e-05"
"-37.0","0.00032223700881039085","6.3657097076237176e-05"
"-36.0","0.00032359336979372342","6.3878490899503366e-05"
"-35.0","0.00032496246323575432","6.4101455091004921e-05"
"-34.0","0.0003263445461550267","6.4326010759673989e-05"
"-33.0","0.00032773988522434474","6.455217950754651e-05"
"-32.0","0.00032914875731850606","6.4779983448498077e-05"
"-31.0","0.00033057145010257055","6.5009445228074881e-05"
"-30.0","0.00033200826266430221","6.5240588044507733e-05"
"-29.0","0.00033345950619477271","6.5473435671008277e-05"
"-28.0","0.00033492550472155911","6.5708012479455784e-05"
"-27.0","0.00033640659589942863","6.5944343465595894e-05"
"-26.0","0.00033790313186392768","6.6182454275883116e-05"
"-25.0","0.00033941548015390397","6.6422371236116577e-05"
"-24.0","0.0003409440247096301","6.6664121382033464e-05"
"-23.0","0.00034248916695397264","6.690773249204288e-05"
"-22.0","0.00034405132696488654","6.7153233122305286e-05"
"-21.0","0.00034563094474846006","6.7400652644386896e-05"
"-20.0","0.00034722848162283996","6.7650021285743422e-05"
"-19.0","0.00034884442172456896","6.7901370173322617e-05"
"-18.0","0.00035047927365026201","6.8154731380606277e-05"
"-17.0","0.00035213357224813752","6.8410137978457656e-05"
"-16.0","0.00035380788057569638","6.866762409018155e-05"
"-15.0","0.00035550279204190504","6.892722495126344e-05"
"-14.0","0.00035721893275457271","6.9188976974310549e-05"
"-13.0","0.00035895696409629294","6.9452917819791751e-05"
"-12.0","0.00036071758555539175","6.9719086473253974e-05"
"-11.0","0.00036250153784184391","6.9987523329786928e-05"
"-10.0","0.00036430960632220056","7.0258270286618774e-05"
"-9.0","0.00036614262481223154","7.053137084485353e-05"
"-8.0","0.00036800147977142313","7.0806870221507497e-05"
"-7.0","0.00036988711494973799","7.1084815473179881e-05"
"-6.0","0.0003718005365443255","7.1365255632893317e-05"
"-5.0","0.00037374281893236142","7.164824186188126e-05"
"-4.0","0.00037571511105607193","7.193382761838141e-05"
"-3.0","0.00037771864354757176","7.222206884582661e-05"
"-2.0","0.00037975473669470648","7.2513024183220546e-05"
"-1.0","0.00038182480936500179","7.2806755200952643e-05"
"0.0","0.00038393038902363589","7.3103326665867324e-05"
"1.0","0.00038607312300350063","7.3402806840068484e-05"
"2.0","0.00038825479121173717","7.3705267818740993e-05"
"3.0","0.00039047732048837929","7.4010785913235144e-05"
"4.0","0.00039274280086997571","7.4319442086820633e-05"
"5.0","0.0003950535040556435","7.4631322451926458e-05"
"6.0","0.00039741190442642277","7.4946518839395191e-05"
"7.0","0.00039982070303317606","7.526512945237153e-05"
"8.0","0.00040228285504597387","7.5587259620005148e-05"
"9.0","0.00040480160125214512","7.5913022669302934e-05"
"10.0","0.00040738050430482418","7.6242540937361208e-05"
"11.0","0.00041002349056388815","7.6575946951042487e-05"
"12.0","0.00041273489854295391","7.6913384807197175e-05"
"13.0","0.00041551953518765601","7.7255011794082182e-05"
"14.0","0.00041838274147215897","7.7601000304146957e-05"
"15.0","0.00042133046912596028","7.7951540100400059e-05"
"16.0","0.00042436937070902231","7.8306841013893596e-05"
"17.0","0.00042750690576242944","7.8667136169474158e-05"
"18.0","0.00043075146640384816","7.9032685862186677e-05"
"19.0","0.00043411252655081609","7.9403782239392522e-05"
