"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"181","337.4567","0.0003","0.0081"
"182","340.7859","0.0","0.0"
"183","346.5913","0.0001","0.0"
"184","350.4819","0.0","0.0"
"185","350.4924","0.0","0.0"
"186","351.0348","0.0","0.0"
"187","351.0467","0.0","0.0"
"188","359.355","0.0001","0.0"
"189","370.9365","0.0001","0.0"
"190","383.2834","0.0001","0.0"
"191","390.5254","0.0","0.0"
"192","391.6255","0.0","0.0"
"193","393.2349","0.0","0.0"
"194","393.2696","0.0","0.0"
"195","398.3279","0.0002","0.0"
"196","403.6463","0.0462","0.0"
"197","404.6267","0.047","0.0"
"198","406.3141","0.042","0.0"
"199","407.5454","0.0459","0.0"
"200","408.8289","0.0015","0.031"
"201","409.2117","0.0002","0.0004"
"202","411.7069","0.0022","0.0013"
"203","426.8054","0.4616","0.0109"
"204","434.721","0.0153","0.1989"
"205","435.6596","0.0002","0.0002"
"206","436.1164","0.0","0.0"
"207","436.3132","0.0018","0.0005"
"208","438.49","0.0001","0.0002"
"209","438.6019","0.0","0.0"
"210","446.9498","0.0001","0.0003"
"211","449.3881","0.039","0.0"
"212","449.4028","0.0391","0.0"
"213","451.1709","0.0","0.0"
"214","451.7953","0.0","0.0"
"215","451.8337","0.0001","0.0"
"216","458.9197","0.0","0.0"
"217","459.2991","0.0","0.0"
"218","459.6771","0.0","0.0"
"219","461.8367","0.0008","0.0"
"220","461.9086","0.0027","0.0"
"221","463.5785","0.0006","0.0"
"222","464.2091","0.0001","0.0"
"223","468.8064","0.0","0.0"
"224","470.631","0.0008","0.0"
"225","470.7472","0.0197","0.0"
"226","470.8553","0.0044","0.0"
"227","471.0215","0.014","0.0"
"228","471.4272","0.0055","0.0"
"229","473.9784","0.0001","0.0"
"230","474.0836","0.0002","0.0"
"231","474.2464","0.0003","0.0"
"232","477.3499","0.0001","0.0"
"233","479.4464","0.0001","0.0"
"234","479.4559","0.0","0.0"
"235","480.4045","0.0309","0.0"
"236","481.1206","0.0055","0.0"
"237","482.7558","0.3596","0.0"
"238","483.4385","0.3547","0.0"
"239","487.0267","0.0004","0.0"
"240","487.5904","0.0231","0.0"
"241","488.12","0.0681","0.0"
"242","488.7239","0.0003","0.0"
"243","488.9893","0.0","0.0"
"244","490.0017","0.0002","0.0"
"245","492.1289","0.0176","0.0"
"246","493.8766","0.0","0.0"
"247","494.9049","0.0303","0.0"
"248","495.1277","0.0501","0.0"
"249","497.0856","0.0128","0.0"
"250","497.5745","0.0005","0.0"
"251","498.4772","0.0107","0.0"
"252","499.7572","0.025","0.0"
"253","500.1052","0.0033","0.0"
"254","500.1691","0.0023","0.0"
"255","500.4235","0.0","0.0"
"256","501.7594","0.0","0.0"
"257","501.7619","0.0002","0.0"
"258","503.2201","0.0086","0.0"
"259","506.5838","0.0","0.0"
"260","508.2077","0.0","0.0"
"261","512.2909","0.0038","0.0"
"262","512.3059","0.0113","0.0"
"263","514.1498","0.0","0.0"
"264","518.711","0.0","0.0"
"265","519.8682","0.0","0.0"
"266","521.0597","0.0","0.0"
"267","526.3202","0.0002","0.0"
"268","527.823","0.0002","0.0"
"269","529.9192","0.0","0.0"
"270","531.0065","0.0047","0.0"
"271","531.171","0.0","0.0"
"272","533.6125","0.0","0.0"
"273","533.7133","0.0","0.0"
"274","538.313","0.0016","0.0001"
"275","539.2955","0.0096","0.0"
"276","539.5137","0.004","0.0"
"277","539.7055","0.0006","0.0"
"278","539.9241","0.0001","0.0"
"279","563.9787","0.004","0.0"
"280","564.1972","0.0001","0.0"
"281","564.3161","0.005","0.0"
"282","565.0756","0.0695","0.0"
"283","565.1926","0.0601","0.0"
"284","566.7865","0.0","0.0"
"285","568.7975","0.0","0.0"
"286","568.8108","0.0","0.0"
"287","573.6966","0.0002","0.0"
"288","574.1869","0.0","0.0"
"289","575.1192","0.0","0.0"
"290","575.5439","0.0012","0.0294"
"291","575.569","0.0001","0.0008"
"292","576.2925","0.0004","0.0001"
"293","577.6094","0.0","0.0"
"294","577.8258","0.007","0.0"
"295","577.8362","0.0068","0.0"
"296","579.5654","0.0002","0.0"
"297","580.4607","0.0001","0.0"
"298","592.8083","0.0227","0.0"
"299","592.8275","0.0076","0.0026"
"300","593.0101","0.0054","0.0004"
"301","593.2131","0.0014","0.0012"
"302","595.2397","0.0003","0.0"
"303","604.2623","0.0","0.0"
"304","604.868","0.0","0.0"
"305","605.6331","0.0001","0.0002"
"306","607.3294","0.0008","5.7341"
"307","609.1715","0.0003","0.0006"
"308","609.1729","0.0003","0.0"
"309","618.6904","0.2311","0.0031"
"310","618.7617","0.0016","0.0"
"311","619.0008","0.002","0.0007"
"312","619.1481","0.0692","0.0"
"313","619.2319","0.0","0.0002"
"314","620.7076","0.0465","0.0"
"315","621.887","0.4657","0.0"
"316","622.7158","0.0003","0.0"
"317","623.3893","0.2526","0.0008"
"318","623.9419","0.9776","0.0"
"319","625.3847","4.3256","0.0"
"320","625.559","1.4412","0.0"
"321","626.2951","1.8023","0.0"
"322","629.5526","0.0014","0.201"
"323","630.9862","0.002","0.0"
"324","631.0487","0.0","0.0"
"325","663.2274","0.1787","0.0"
"326","663.687","0.1809","0.0"
"327","666.0391","0.0052","0.0"
"328","666.3951","0.0005","0.0"
"329","667.8038","0.0001","0.0"
"330","669.6636","0.0005","0.0"
