"v / cm^-1","IR Intensity / AU","Raman Intensity / AU"
"-100.0","0.0003492256014521241","4.7874401474208996e-05"
"-99.0","0.00035053268792273226","4.8048215588560497e-05"
"-98.0","0.00035184826950584552","4.822374836408777e-05"
"-97.0","0.00035317243200768517","4.8401038935589873e-05"
"-96.0","0.00035450526256219472","4.8580127852065725e-05"
"-95.0","0.00035584684966336635","4.8761057142720334e-05"
"-94.0","0.00035719728319878432","4.8943870386657227e-05"
"-93.0","0.00035855665448444207","4.9128612786496399e-05"
"-92.0","0.00035992505630090592","4.9315331246172776e-05"
"-91.0","0.0003613025829309003","4.9504074453190513e-05"
"-90.0","0.00036268933019838526","4.9694892965628106e-05"
"-89.0","0.00036408539550921722","4.9887839304212039e-05"
"-88.0","0.00036549087789347065","5.0082968049800429e-05"
"-87.0","0.00036690587804953358","5.0280335946644309e-05"
"-86.0","0.00036833049839005372","5.0480002011823174e-05"
"-85.0","0.00036976484308986677","5.0682027651280964e-05"
"-84.0","0.00037120901813601212","5.0886476782923682e-05"
"-83.0","0.00037266313137996032","5.1093415967275172e-05"
"-82.0","0.00037412729259219286","5.130291454622791e-05"
"-81.0","0.00037560161351927459","5.1515044790468803e-05"
"-80.0","0.00037708620794357377","5.1729882056206868e-05"
"-79.0","0.0003785811917458016","5.1947504951881885e-05"
"-78.0","0.00038008668297054553","5.2167995515588175e-05"
"-77.0","0.00038160280189499641","5.2391439404010485e-05"
"-76.0","0.00038312967110107262","5.261792609373491e-05"
"-75.0","0.00038466741555117696","5.2847549095872352e-05"
"-74.0","0.00038621616266782169","5.3080406185011739e-05"
"-73.0","0.00038777604241739414","5.3316599643609014e-05"
"-72.0","0.00038934718739834344","5.3556236523015373e-05"
"-71.0","0.00039092973293410808","5.3799428922453244e-05"
"-70.0","0.00039252381717110789","5.4046294287367435e-05"
"-69.0","0.00039412958118218452","5.4296955728706092e-05"
"-68.0","0.00039574716907587153","5.4551542364828674e-05"
"-67.0","0.00039737672811193935","5.4810189687894656e-05"
"-66.0","0.00039901840882367831","5.5073039956758821e-05"
"-65.0","0.00040067236514743987","5.534024261858929e-05"
"-64.0","0.00040233875455999134","5.5611954761635861e-05"
"-63.0","0.00040401773822429837","5.588834160180847e-05"
"-62.0","0.00040570948114440798","5.6169577005984263e-05"
"-61.0","0.00040741415233015656","5.6455844055247788e-05"
"-60.0","0.00040913192497250888","5.6747335651586763e-05"
"-59.0","0.00041086297663041099","5.7044255171919284e-05"
"-58.0","0.00041260748943011666","5.7346817173720553e-05"
"-57.0","0.00041436565027804754","5.7655248156956006e-05"
"-56.0","0.00041613765108836596","5.7969787387514605e-05"
"-55.0","0.00041792368902652605","5.8290687787881884e-05"
"-54.0","0.00041972396677024187","5.8618216901400493e-05"
"-53.0","0.00042153869278942116","5.8952657937148909e-05"
"-52.0","0.00042336808164680735","5.9294310903231225e-05"
"-51.0","0.00042521235432123582","5.964349383712933e-05"
"-50.0","0.00042707173855563229","6.0000544142731255e-05"
"-49.0","0.00042894646923210557","6.0365820044732635e-05"
"-48.0","0.00043083678877675337","6.07397021723291e-05"
"-47.0","0.00043274294759708566","6.1122595285494579e-05"
"-46.0","0.00043466520455531977","6.1514930158696222e-05"
"-45.0","0.00043660382748115308","6.191716563865665e-05"
"-44.0","0.00043855909372806203","6.2329790894770945e-05"
"-43.0","0.00044053129077765291","6.2753327883048891e-05"
"-42.0","0.00044252071689712241","6.318833404702796e-05"
"-41.0","0.00044452768185552377","6.3635405282035006e-05"
"-40.0","0.00044655250770523144","6.4095179192517502e-05"
"-39.0","0.00044859552963579441","6.4568338675986841e-05"
"-38.0","0.00045065709690830677","6.5055615871489474e-05"
"-37.0","0.00045273757387945116","6.5557796515536127e-05"
"-36.0","0.0004548373411256023","6.6075724754182985e-05"
"-35.0","0.0004569567966787436","6.6610308466588021e-05"
"-34.0","0.00045909635738755963","6.7162525163016147e-05"
"-33.0","0.00046125646041889231","6.7733428529106348e-05"
"-32.0","0.00046343756491689861","6.8324155698448903e-05"
"-31.0","0.00046564015383968591","6.8935935347402385e-05"
"-30.0","0.00046786473599607633","6.9570096719895344e-05"
"-29.0","0.00047011184830847766","7.0228079706066907e-05"
"-28.0","0.00047238205833171964","7.091144611741799e-05"
"-27.0","0.0004746759670622394","7.1621892323190162e-05"
"-26.0","0.00047699421207733774","7.2361263438569116e-05"
"-25.0","0.0004793374710504515","7.3131569285776643e-05"
"-24.0","0.00048170646569575343","7.3935002385072868e-05"
"-23.0","0.00048410196620408735","7.4773958275241992e-05"
"-22.0","0.00048652479624251437","7.5651058513636981e-05"
"-21.0","0.00048897583860198484","7.656917676595992e-05"
"-20.0","0.00049145604159221863","7.7531468467705207e-05"
"-19.0","0.00049396642630022448","7.8541404625101388e-05"
"-18.0","0.00049650809484981409","7.9602810426589282e-05"
"-17.0","0.00049908223982446972","8.0719909460245947e-05"
"-16.0","0.00050169015504623014","8.1897374482971764e-05"
"-15.0","0.00050433324793987288","8.3140385869783534e-05"
"-14.0","0.00050701305375619942","8.4454699093874466e-05"
"-13.0","0.00050973125198252396","8.5846722859912164e-05"
"-12.0","0.00051248968533498048","8.7323609846663583e-05"
"-11.0","0.00051529038180899551","8.8893362426193282e-05"
"-10.0","0.00051813558036520736","9.0564956235723859e-05"
"-9.0","0.00052102776095323464","9.234848511074944e-05"
"-8.0","0.00052396967973155587","9.4255331677774707e-05"
"-7.0","0.00052696441053673318","9.6298368895867323e-05"
"-6.0","0.00053001539390036675","9.8492199085322953e-05"
"-5.0","0.00053312649522195207","0.0001008534385644844"
"-4.0","0.00053630207409920562","0.00010340105803182156"
"-3.0","0.00053954706731987789","0.00010615679141248434"
"-2.0","0.00054286708866419365","0.00010914562921440334"
"-1.0","0.00054626854950039563","0.00011239641674816682"
"0.0","0.00054975880523863176","0.00011594258318219327"
"1.0","0.0005533463341242012","0.00011982303477367039"
"2.0","0.0005570409567142796","0.00012408325534586493"
"3.0","0.00056085410685041508","0.00012877667001712052"
"4.0","0.00056479916823127662","0.00013396634550098778"
"5.0","0.0005688918951123939","0.00013972712363803874"
"6.0","0.00057315094164275739","0.00014614831651350309"
"7.0","0.00057759853250169749","0.00015333713486339898"
"8.0","0.00058226131869224169","0.000161423081190869"
"9.0","0.00058717147782203719","0.00017056362186672255"
"10.0","0.00059236813974569268","0.00018095156819857884"
"11.0","0.00059789924862185513","0.00019282475900524347"
"12.0","0.00060382401494201484","0.00020647886664520125"
"13.0","0.00061021617116863256","0.00022228447303616474"
"14.0","0.00061716832962587637","0.0002407100210105167"
"15.0","0.00062479786112354981","0.00026235289045084179"
"16.0","0.00063325487980435652","0.00028798173734675801"
"17.0","0.0006427331464750524","0.00031859441496812009"
"18.0","0.00065348499385179477","0.00035549724165346625"
"19.0","0.00066584170502073604","0.00040041280371642826"
"20.0","0.00068024101475089565","0.00045562386175281418"
"21.0","0.00069726315635555377","0.00052415728765526498"
"22.0","0.00071767505486696576","0.00060999641205363234"
"23.0","0.00074247608471407869","0.00071826318533383489"
"24.0","0.00077292163232207728","0.00085518867703198646"
"25.0","0.00081045838724504366","0.0010274051336227837"
"26.0","0.00085641449595337483","0.0012395393176323492"
"27.0","0.00091113913733190501","0.0014884077334938351"
"28.0","0.000972211937088619","0.0017527135662416425"
"29.0","0.0010319374934253441","0.0019830528057821145"
"30.0","0.0010765464815193975","0.00210960722396998"
"31.0","0.0010916004678036117","0.0020823447494915967"
"32.0","0.0010725958983824559","0.0019129160151310554"
"33.0","0.0010290191654049358","0.0016641067976955626"
"34.0","0.00097621067344738741","0.001401635976565938"
"35.0","0.00092583901400057861","0.0011647255924178736"
"36.0","0.00088331974217363497","0.00096708015921825245"
"37.0","0.0008497588232289564","0.00080825794102836737"
"38.0","0.00082430937486961697","0.00068250093011283956"
"39.0","0.00080557312431622937","0.00058315869976109528"
"40.0","0.00079220521432351112","0.0005043503380844119"
"41.0","0.00078310558050786615","0.00044135855037376613"
"42.0","0.00077744119722415208","0.0003905528876681817"
"43.0","0.00077461423769807571","0.00034918529005886041"
"44.0","0.00077422217392684436","0.0003151842681809516"
"45.0","0.00077602565662377159","0.00028698458841242371"
"46.0","0.0007799283750067528","0.00026339653858999248"
"47.0","0.0007859690887706914","0.00024350880619935782"
"48.0","0.00079432445355808205","0.00022661729091956069"
"49.0","0.0008053191346864988","0.00021217311042451775"
"50.0","0.00081943375039147297","0.00019974455234947444"
"51.0","0.00083728551783691159","0.0001889890930915585"
"52.0","0.00085952061352490884","0.00017963268187618683"
"53.0","0.0008864910449361595","0.00017145428648386468"
"54.0","0.00091752245666579658","0.00016427427100840919"
"55.0","0.00094971488261362633","0.00015794558355323012"
"56.0","0.00097703479094659196","0.00015234701984437172"
"57.0","0.00099181089391538755","0.0001473780324559614"
"58.0","0.00098963203260766467","0.00014295469989134349"
"59.0","0.00097315409785259295","0.0001390065728537756"
"60.0","0.00094971091488721925","0.00013547418902012129"
"61.0","0.00092603692489437559","0.00013230710108184192"
"62.0","0.00090578894909873941","0.00012946230171209915"
"63.0","0.00089005737761093957","0.00012690295762592929"
"64.0","0.00087861613354848068","0.00012459738594786826"
"65.0","0.00087078731630683677","0.000122518221752406"
"66.0","0.00086584942502645318","0.00012064173736297879"
"67.0","0.00086318150918413743","0.00011894728283244935"
"68.0","0.0008622912535285437","0.00011741682373593759"
"69.0","0.00086280185827923529","0.00011603455753149522"
"70.0","0.0008644289536580091","0.00011478659368367719"
"71.0","0.00086695866215762564","0.00011366068579190003"
"72.0","0.00087022980837702334","0.00011264600633562447"
"73.0","0.00087412038025438585","0.00011173295650249476"
"74.0","0.00087853750817080533","0.00011091300502382233"
"75.0","0.00088341012965814484","0.00011017855109469461"
"76.0","0.00088868363297765329","0.0001095228073720469"
"77.0","0.00089431593686293794","0.00010893969977541591"
"78.0","0.00090027460767265022","0.00010842378140175523"
"79.0","0.00090653472680705103","0.00010797015833837614"
"80.0","0.00091307730328934837","0.00010757442554057451"
"81.0","0.00091988808525918047","0.00010723261125131358"
"82.0","0.00092695666589026572","0.00010694112869389824"
"83.0","0.00093427580880712927","0.00010669673397625684"
"84.0","0.00094184093904825972","0.00010649648931616391"
"85.0","0.00094964976058538623","0.00010633773083759493"
"86.0","0.00095770197217552057","0.000106218040305018"
"87.0","0.00096599906116274516","0.00010613522025930401"
"88.0","0.00097454416064981532","0.00010608727209967473"
"89.0","0.00098334195985424707","0.00010607237672361217"
"90.0","0.00099239866090211778","0.00010608887739326204"
"91.0","0.0010017219781307263","0.00010613526454448008"
"92.0","0.001011321178429937","0.0001062101622948345"
"93.0","0.0010212071634708528","0.00010631231644085444"
"94.0","0.0010313925970533093","0.00010644058376363044"
"95.0","0.0010418920834630683","0.00010659392248638218"
"96.0","0.00105272240591255","0.00010677138374850151"
"97.0","0.0010639028381569412","0.00010697210397844144"
"98.0","0.0010754555476476639","0.00010719529806312393"
"99.0","0.0010874061156823499","0.00010744025322468494"
"100.0","0.0010997842097443182","0.00010770632352669038"
"101.0","0.0011126244567382379","0.00010799292494172531"
"102.0","0.0011259675847273087","0.00010829953092070226"
"103.0","0.0011398619272653303","0.00010862566841156039"
"104.0","0.0011543654213728557","0.00010897091428138927"
"105.0","0.0011695482809801327","0.00010933489210155381"
"106.0","0.0011854965949905927","0.00010971726926023646"
"107.0","0.0012023171816095148","0.00011011775437104682"
"108.0","0.0012201441127260091","0.00011053609495006574"
"109.0","0.0012391473479455384","0.00011097207533696282"
"110.0","0.0012595437240370897","0.00011142551483870914"
"111.0","0.0012816096990388281","0.00011189626607696604"
"112.0","0.001305692678797472","0.00011238421352249938"
"113.0","0.0013322110156307671","0.0001128892722019977"
"114.0","0.0013616171207567621","0.00011341138656448969"
"115.0","0.0013942678134332431","0.00011395052949619505"
"116.0","0.0014301090551875632","0.00011450670147413349"
"117.0","0.0014681161039699934","0.00011507992985017692"
"118.0","0.0015057559378475879","0.00011567026825848905"
"119.0","0.0015394262963165837","0.00011627779614047338"
"120.0","0.0015666727310550536","0.00011690261838246157"
"121.0","0.0015884800959381138","0.00011754486506244548"
"122.0","0.0016086916405207634","0.00011820469130320128"
"123.0","0.001631397229528221","0.00011888227723019584"
"124.0","0.0016593714703057305","0.00011957782803372901"
"125.0","0.0016941807962434685","0.00012029157413586693"
"126.0","0.0017368676559252644","0.00012102377146389903"
"127.0","0.0017885158147990477","0.00012177470183332745"
"128.0","0.0018506032601224957","0.00012254467344482113"
"129.0","0.0019252355017909905","0.00012333402150117558"
"130.0","0.0020153304034342223","0.00012414310895218073"
"131.0","0.0021247492259054836","0.00012497232737748268"
"132.0","0.0022582442076990875","0.00012582209802012705"
"133.0","0.0024208518257593766","0.00012669287298661168"
"134.0","0.002615918430461505","0.00012758513663311221"
"135.0","0.0028404369854365943","0.00012849940716227925"
"136.0","0.0030769799571929803","0.00012943623846090841"
"137.0","0.0032864219558692009","0.00013039622221620728"
"138.0","0.0034152967157017934","0.00013137999035780284"
