"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"1","-0.0","0.0","0.0"
"2","0.0","0.0","0.0"
"3","0.0","0.0","0.0"
"4","26.5263","0.0","0.0"
"5","26.5266","0.0","0.0"
"6","30.3282","0.0","0.0329"
"7","30.8075","0.0004","0.0"
"8","30.8081","0.0004","0.0"
"9","30.8084","0.0004","0.0"
"10","31.4628","0.0","0.0"
"11","31.4636","0.0","0.0"
"12","31.4647","0.0","0.0"
"13","40.1847","0.0","0.0"
"14","40.1851","0.0","0.0"
"15","40.1855","0.0","0.0"
"16","57.1322","0.0002","0.0"
"17","57.1331","0.0002","0.0"
"18","57.1333","0.0002","0.0"
"19","73.9669","0.0","0.0"
"20","73.9688","0.0","0.0"
"21","73.9712","0.0","0.0"
"22","76.8071","0.0","0.0"
"23","83.8295","0.0","0.0"
"24","83.8303","0.0","0.0"
"25","83.8315","0.0","0.0"
"26","96.5734","0.0","0.0"
"27","96.5743","0.0","0.0"
"28","96.576","0.0","0.0"
"29","102.8618","0.0","0.0"
"30","102.8643","0.0","0.0"
"31","102.8648","0.0","0.0"
"32","104.4755","0.0","0.0"
"33","104.4756","0.0","0.0"
"34","119.3173","0.0001","0.0"
"35","119.3226","0.0001","0.0"
"36","119.324","0.0001","0.0"
"37","119.428","0.0","0.0"
"38","119.4284","0.0","0.0"
"39","120.7396","0.0","0.0"
"40","120.74","0.0","0.0"
"41","120.741","0.0","0.0"
"42","124.7486","0.0","0.0"
"43","138.2628","0.0014","0.0"
"44","138.2633","0.0014","0.0"
"45","138.2634","0.0014","0.0"
"46","138.7632","0.0","0.0"
"47","138.7638","0.0","0.0"
"48","138.7649","0.0","0.0"
"49","153.6912","0.0","0.0"
"50","153.6946","0.0","0.0"
"51","153.6969","0.0","0.0"
"52","161.5443","0.0","0.0"
"53","161.5476","0.0","0.0"
"54","164.2683","0.0004","0.0"
"55","164.2696","0.0004","0.0"
"56","164.2706","0.0004","0.0"
"57","170.8175","0.0","0.0001"
"58","175.4677","0.0005","0.0"
"59","175.468","0.0005","0.0"
"60","175.469","0.0005","0.0"
"61","182.86","0.049","0.0"
"62","182.8609","0.049","0.0"
"63","182.8618","0.049","0.0"
"64","187.0587","0.0","0.0"
"65","187.0595","0.0","0.0"
"66","187.0595","0.0","0.0"
"67","189.915","0.0","0.0"
"68","189.9153","0.0","0.0"
"69","200.3773","0.0013","0.0"
"70","200.3785","0.0013","0.0"
"71","200.3797","0.0013","0.0"
"72","221.1646","0.0","0.0"
"73","221.1657","0.0","0.0"
"74","224.238","0.0","0.0"
"75","224.2387","0.0","0.0"
"76","224.2388","0.0","0.0"
"77","248.0015","0.0","0.0"
"78","248.0021","0.0","0.0"
"79","249.8874","0.0","0.0"
"80","250.6217","0.0","0.2944"
"81","253.6592","0.0","0.0"
"82","253.6598","0.0","0.0"
"83","253.66","0.0","0.0"
"84","256.5916","0.0351","0.0"
"85","256.5927","0.0351","0.0"
"86","256.5927","0.0351","0.0"
"87","269.2239","0.0","0.0795"
"88","282.6877","0.0","0.0"
"89","282.688","0.0","0.0"
"90","286.4798","0.0","0.0"
"91","286.4804","0.0","0.0"
"92","286.4805","0.0","0.0"
"93","298.73","0.0117","0.0"
"94","298.7307","0.0117","0.0"
"95","298.731","0.0117","0.0"
"96","303.3847","0.0","0.0"
"97","303.3849","0.0","0.0"
"98","303.3862","0.0","0.0"
"99","306.6451","0.0565","0.0"
"100","306.6452","0.0565","0.0"
"101","306.6465","0.0565","0.0"
"102","325.1086","0.3111","0.0"
"103","325.1094","0.3112","0.0"
"104","325.1104","0.3112","0.0"
"105","326.1937","0.0","0.0"
"106","326.1944","0.0","0.0"
"107","326.1955","0.0","0.0"
"108","330.8376","0.0","0.0"
"109","337.3523","0.0","0.0"
"110","337.3537","0.0","0.0"
"111","339.0223","0.0015","0.0"
"112","339.0236","0.0015","0.0"
"113","339.0246","0.0015","0.0"
"114","344.1467","0.0","0.0016"
"115","346.5803","0.0","0.0"
"116","346.581","0.0","0.0"
"117","346.5817","0.0","0.0"
"118","347.2806","0.0","0.0"
"119","354.2547","0.0","0.0"
"120","354.2558","0.0","0.0"
"121","356.3425","0.0","0.0"
"122","356.3452","0.0","0.0"
"123","356.3453","0.0","0.0"
"124","356.738","0.3948","0.0"
"125","356.7392","0.3948","0.0"
"126","356.7393","0.3948","0.0"
"127","361.5175","0.0","0.0"
"128","361.5181","0.0","0.0"
"129","361.5188","0.0","0.0"
"130","364.8073","0.1839","0.0"
"131","364.8074","0.1838","0.0"
"132","364.8078","0.1838","0.0"
"133","376.6398","0.0","0.0"
"134","376.6409","0.0","0.0"
"135","397.0935","0.008","0.0"
"136","397.0938","0.008","0.0"
"137","397.0945","0.008","0.0"
"138","411.3293","0.0","0.0"
"139","411.3302","0.0","0.0"
"140","411.3312","0.0","0.0"
"141","416.7784","0.0","0.1116"
