#v	DOS
-110	0.004101242
-109	0.00421842
-108	0.00421842
-107	0.004335599
-106	0.004335599
-105	0.004335599
-104	0.004452777
-103	0.004452777
-102	0.004569955
-101	0.004569955
-100	0.004687134
-99	0.004687134
-98	0.004804312
-97	0.004804312
-96	0.004921491
-95	0.004921491
-94	0.005038669
-93	0.005038669
-92	0.005155847
-91	0.005273026
-90	0.005273026
-89	0.005390204
-88	0.005507382
-87	0.005507382
-86	0.005624561
-85	0.005624561
-84	0.005741739
-83	0.005858917
-82	0.005976096
-81	0.005976096
-80	0.006093274
-79	0.006210452
-78	0.006327631
-77	0.006444809
-76	0.006444809
-75	0.006561987
-74	0.006679166
-73	0.006796344
-72	0.006913522
-71	0.007030701
-70	0.007147879
-69	0.007265057
-68	0.007382236
-67	0.007499414
-66	0.007616592
-65	0.007733771
-64	0.007968127
-63	0.008085306
-62	0.008202484
-61	0.008319663
-60	0.008554019
-59	0.008671198
-58	0.008905554
-57	0.009022733
-56	0.009257089
-55	0.009374268
-54	0.009608624
-53	0.009842981
-52	0.010077338
-51	0.010311694
-50	0.010428873
-49	0.010780408
-48	0.011014764
-47	0.011249121
-46	0.011483478
-45	0.011835013
-44	0.01206937
-43	0.012420905
-42	0.01277244
-41	0.013123975
-40	0.01347551
-39	0.013944223
-38	0.014295758
-37	0.014764472
-36	0.015233185
-35	0.015701898
-34	0.01628779
-33	0.016873682
-32	0.017459573
-31	0.018045465
-30	0.018748535
-29	0.019568784
-28	0.020389032
-27	0.021326459
-26	0.022263886
-25	0.023318491
-24	0.024607453
-23	0.025896414
-22	0.027302554
-21	0.028943051
-20	0.030817905
-19	0.032927115
-18	0.03538786
-17	0.038200141
-16	0.041363956
-15	0.045230841
-14	0.049683618
-13	0.055073822
-12	0.06163581
-11	0.069603937
-10	0.079446918
-9	0.091750644
-8	0.107218186
-7	0.126435435
-6	0.150105461
-5	0.177876728
-4	0.207874385
-3	0.234708226
-2	0.250996016
-1	0.250878838
0	0.234825404
1	0.20963206
2	0.182563862
3	0.158190766
4	0.138153269
5	0.122685728
6	0.11120225
7	0.102882587
8	0.097258027
9	0.093742676
10	0.09210218
11	0.091985001
12	0.09350832
13	0.096554957
14	0.101124912
15	0.107452543
16	0.115889384
17	0.126669791
18	0.140496836
19	0.15795641
20	0.179985939
21	0.207171315
22	0.239981251
23	0.277126787
24	0.314506679
25	0.345558941
26	0.363838763
27	0.368877431
28	0.3668854
29	0.365947973
30	0.371572533
31	0.385165221
32	0.405905789
33	0.432622451
34	0.464963675
35	0.501992032
36	0.538903211
37	0.569135224
38	0.588118116
39	0.595031638
40	0.590578861
41	0.57722053
42	0.56163581
43	0.55237872
44	0.554136396
45	0.56444809
46	0.573939536
47	0.569486759
48	0.543004453
49	0.497773611
50	0.444808999
51	0.394305132
52	0.352472463
53	0.321185845
54	0.300328099
55	0.289196157
56	0.287321303
57	0.29458636
58	0.311342864
59	0.337707992
60	0.37321303
61	0.415280056
62	0.457229904
63	0.489453949
64	0.504569955
65	0.502226389
66	0.488985236
67	0.470119522
68	0.447152566
69	0.420787438
70	0.394187954
71	0.371572533
72	0.3555191
73	0.345558941
74	0.339348488
75	0.335247246
76	0.334075463
77	0.33852824
78	0.351652215
79	0.375790954
80	0.411999063
81	0.459339114
82	0.513358331
83	0.563627842
84	0.596437778
85	0.60124209
86	0.579446918
87	0.543121631
88	0.506796344
89	0.480314038
90	0.467072885
91	0.46531521
92	0.46883056
93	0.468713382
94	0.458987579
95	0.440473401
96	0.420084368
97	0.405319897
98	0.401335833
99	0.410592922
100	0.433794235
101	0.469650809
102	0.51347551
103	0.555308179
104	0.581790485
105	0.581556128
106	0.553316147
107	0.506444809
108	0.454300445
109	0.406960394
110	0.36969768
111	0.343801266
112	0.329153972
113	0.325169909
114	0.331731896
115	0.348722756
116	0.376494024
117	0.414342629
118	0.459221936
119	0.504687134
120	0.540543708
121	0.557886103
122	0.554019217
123	0.535622217
124	0.514295758
125	0.500351535
126	0.49929693
127	0.511835013
128	0.534098899
129	0.559292243
130	0.580618702
131	0.596672135
132	0.61260839
133	0.634403562
134	0.6628779
135	0.693578627
136	0.721232716
137	0.743730959
138	0.758729787
139	0.760838997
140	0.745840169
141	0.718654793
142	0.691352238
143	0.674478556
144	0.671197563
145	0.675415983
146	0.674712913
147	0.656433091
148	0.615186314
149	0.555542536
150	0.488516522
151	0.424302789
152	0.368877431
153	0.323998125
154	0.289313335
155	0.263299742
156	0.244668385
157	0.232599016
158	0.226388563
159	0.225685493
160	0.230606984
161	0.241738927
162	0.259784392
163	0.285797985
164	0.32083431
165	0.364659011
166	0.415162878
167	0.465783923
168	0.506679166
169	0.528474338
170	0.526482306
171	0.503280994
172	0.467307242
173	0.429341458
174	0.396883056
175	0.37180689
176	0.35059761
177	0.327396297
178	0.298687603
179	0.265526131
180	0.232013124
181	0.201663933
182	0.175884697
183	0.155026951
184	0.138270448
185	0.125146473
186	0.115069135
187	0.107335364
188	0.101945161
189	0.09842981
190	0.096789313
191	0.097140848
192	0.099601594
193	0.104054371
194	0.110147645
195	0.11682681
196	0.121982658
197	0.122920084
198	0.118467307
199	0.109561753
200	0.098664167
201	0.087883759
202	0.078509491
203	0.070658542
204	0.064330912
205	0.059175064
206	0.055073822
207	0.051792829
208	0.049097727
209	0.046988517
210	0.045230841
211	0.043707523
212	0.042652918
213	0.041715491
214	0.041012421
215	0.040426529
216	0.040074994
217	0.039840637
218	0.039840637
219	0.039957816
220	0.040074994
221	0.040426529
222	0.041012421
223	0.041598313
224	0.042418561
225	0.043355988
226	0.044527771
227	0.045933911
228	0.04745723
229	0.049332083
230	0.051441294
231	0.054019217
232	0.056831498
233	0.06022967
234	0.064096555
235	0.068783689
236	0.074173893
237	0.08073588
238	0.088469651
239	0.097961097
240	0.109444575
241	0.123388798
242	0.140379658
243	0.160534333
244	0.183618467
245	0.208343098
246	0.232950551
247	0.256854933
248	0.281462386
249	0.30946801
250	0.341926412
251	0.376142489
252	0.406022967
253	0.426177642
254	0.437192407
255	0.446097961
256	0.460628076
257	0.484063745
258	0.513827045
