"v / cm^-1","Intensity / AU"
"3809.0","6.829817270301338e-05"
"3808.0","7.072823043504263e-05"
"3807.0","7.330620650666801e-05"
"3806.0","7.604434220432491e-05"
"3805.0","7.895616682904172e-05"
"3804.0","8.205666311701537e-05"
"3803.0","8.53624578733306e-05"
"3802.0","8.88920422865521e-05"
"3801.0","9.266602729788572e-05"
"3800.0","9.670744051217981e-05"
"3799.0","0.00010104207251244525"
"3798.0","0.00010569888214314597"
"3797.0","0.00011071047244845647"
"3796.0","0.0001161136516044013"
"3795.0","0.00012195009651746466"
"3794.0","0.00012826714097246647"
"3793.0","0.00013511871555711081"
"3792.0","0.0001425664734115518"
"3791.0","0.00015068114460474794"
"3790.0","0.0001595441732375205"
"3789.0","0.0001692497060420583"
"3788.0","0.00017990702041331618"
"3787.0","0.00019164350500776122"
"3786.0","0.00020460833939860338"
"3785.0","0.00021897706372353613"
"3784.0","0.00023495728890571776"
"3783.0","0.0002527958786408469"
"3782.0","0.00027278804408454053"
"3781.0","0.000295288942659109"
"3780.0","0.00032072858023933715"
"3779.0","0.00034963110502559736"
"3778.0","0.00038263998598204015"
"3777.0","0.0004205511380997177"
"3776.0","0.00046435686127893107"
"3775.0","0.0005153045981084389"
"3774.0","0.0005749761225214727"
"3773.0","0.0006453950165016758"
"3772.0","0.0007291733582746569"
"3771.0","0.0008297125319443781"
"3770.0","0.0009514776996873166"
"3769.0","0.0011003693030945138"
"3768.0","0.0012842132750717115"
"3767.0","0.0015133712896919845"
"3766.0","0.0018013993469665277"
"3765.0","0.0021654752266965925"
"3764.0","0.0026257937118690173"
"3763.0","0.0032019781486698337"
"3762.0","0.0039025500209567765"
"3761.0","0.004701936282506025"
"3760.0","0.005505390510716391"
"3759.0","0.006129442960584987"
"3758.0","0.006360920650501227"
"3757.0","0.006103789386768945"
"3756.0","0.005464154838416135"
"3755.0","0.004656948904009633"
"3754.0","0.0038613187656819513"
"3753.0","0.0031673477181383925"
"3752.0","0.0025979030377825127"
"3751.0","0.002143398358420083"
"3750.0","0.0017839939343075888"
"3749.0","0.0014996073561263704"
"3748.0","0.0012732582276080541"
"3747.0","0.0010915803665238171"
"3746.0","0.0009443678640106808"
"3745.0","0.0008239147531642489"
"3744.0","0.0007244105110388383"
"3743.0","0.0006414566933722353"
"3742.0","0.0005717013558448147"
"3741.0","0.000512569185849222"
"3740.0","0.00046206411123316877"
"3739.0","0.0004186250990917562"
"3738.0","0.00038102047460543653"
"3737.0","0.0003482700277080364"
"3736.0","0.0003195871926999833"
"3735.0","0.000294335791407343"
"3734.0","0.0002719974075059562"
"3733.0","0.00025214657674802105"
"3732.0","0.00023443176725845645"
"3731.0","0.00021856068285252932"
"3730.0","0.00020428881947186163"
"3729.0","0.00019141048867452653"
"3728.0","0.00017975172628412558"
"3727.0","0.00016916465218665318"
"3726.0","0.00015952295515121067"
"3725.0","0.00015071825583224576"
"3724.0","0.0001426571597942981"
"3723.0","0.0001352588561475662"
"3722.0","0.00012845315022370094"
"3721.0","0.00012217884354302858"
"3720.0","0.0001163823932091759"
"3719.0","0.0001110167973268092"
"3718.0","0.0001060406641782405"
"3717.0","0.00010141743152833667"
"3716.0","9.711470915687662e-05"
"3715.0","9.310372299218701e-05"
"3714.0","8.935884337620087e-05"
"3713.0","8.585718328299031e-05"
"3712.0","8.257825493299893e-05"
"3711.0","7.950367534066184e-05"
"3710.0","7.661691301661945e-05"
"3709.0","7.390306940427954e-05"
"3708.0","7.134868973146245e-05"
"3707.0","6.894159885377747e-05"
"3706.0","6.667075839831489e-05"
"3705.0","6.452614211649334e-05"
"3704.0","6.24986268489898e-05"
"3703.0","6.057989691382388e-05"
"3702.0","5.876236006698388e-05"
"3701.0","5.703907346634609e-05"
"3700.0","5.540367830439598e-05"
"3699.0","5.3850341971736215e-05"
"3698.0","5.237370677830359e-05"
"3697.0","5.0968844398078156e-05"
"3696.0","4.9631215320309874e-05"
"3695.0","4.835663268954369e-05"
"3694.0","4.7141230000978896e-05"
"3693.0","4.5981432189402666e-05"
"3692.0","4.487392971111175e-05"
"3691.0","4.3815655270555766e-05"
"3690.0","4.28037628882848e-05"
"3689.0","4.183560904531932e-05"
"3688.0","4.090873567224255e-05"
"3687.0","4.002085477995166e-05"
"3686.0","3.916983455376678e-05"
"3685.0","3.835368675405596e-05"
"3684.0","3.757055528516471e-05"
"3683.0","3.681870581064805e-05"
"3682.0","3.60965163069288e-05"
"3681.0","3.540246845984124e-05"
"3680.0","3.473513981930898e-05"
"3679.0","3.4093196636860224e-05"
"3678.0","3.347538731898261e-05"
"3677.0","3.2880536436615455e-05"
"3676.0","3.230753923750224e-05"
"3675.0","3.175535661379297e-05"
"3674.0","3.1223010482291754e-05"
"3673.0","3.070957953917313e-05"
"3672.0","3.021419535491423e-05"
"3671.0","2.973603877867069e-05"
"3670.0","2.9274336624417022e-05"
"3669.0","2.882835861392365e-05"
"3668.0","2.8397414554094167e-05"
"3667.0","2.7980851728372824e-05"
"3666.0","2.757805248388563e-05"
"3665.0","2.71884319977244e-05"
"3664.0","2.6811436207347815e-05"
"3663.0","2.644653989147449e-05"
"3662.0","2.609324488910208e-05"
"3661.0","2.5751078445416346e-05"
"3660.0","2.5419591674371774e-05"
"3659.0","2.5098358128640044e-05"
"3658.0","2.4786972468449642e-05"
"3657.0","2.448504922158358e-05"
"3656.0","2.419222162747612e-05"
"3655.0","2.390814055895784e-05"
"3654.0","2.3632473515748926e-05"
"3653.0","2.3364903684300275e-05"
"3652.0","2.3105129059034418e-05"
