"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"185","557.4931","0.0","0.0"
"186","557.4933","0.0","0.0"
"187","557.952","0.0","0.0"
"188","557.9521","0.0","0.0"
"189","557.9521","0.0","0.0"
"190","559.1207","0.0139","0.0"
"191","559.1208","0.0139","0.0"
"192","559.121","0.0139","0.0"
"193","572.3175","0.0","0.0"
"194","572.3176","0.0","0.0"
"195","582.3686","0.0075","0.0"
"196","582.3686","0.0075","0.0"
"197","582.3687","0.0075","0.0"
"198","584.8772","0.0","0.0"
"199","618.956","0.0","0.0"
"200","618.9561","0.0","0.0"
"201","623.2072","0.0","0.0"
"202","623.2072","0.0","0.0"
"203","623.2073","0.0","0.0"
"204","625.5896","0.0","7.2235"
"205","640.4301","0.0","0.0"
"206","640.4303","0.0","0.0"
"207","640.4305","0.0","0.0"
"208","641.7063","0.0","0.0"
"209","641.7064","0.0","0.0"
"210","641.7067","0.0","0.0"
"211","692.1821","0.0","0.0"
"212","692.1822","0.0","0.0"
"213","692.5619","0.0","0.0"
"214","692.562","0.0","0.0"
"215","702.7179","0.0238","0.0"
"216","702.718","0.0238","0.0"
"217","702.718","0.0238","0.0"
"218","703.6533","0.0","0.0"
"219","703.6533","0.0","0.0"
"220","703.6534","0.0","0.0"
"221","713.9887","0.0","0.0"
"222","715.6854","0.0","5.5541"
"223","769.8635","0.0","0.0"
"224","769.8637","0.0","0.0"
"225","769.8637","0.0","0.0"
"226","779.8269","0.1892","0.0"
"227","779.827","0.1892","0.0"
"228","779.827","0.1892","0.0"
"229","782.9492","0.0","0.0"
"230","782.9493","0.0","0.0"
"231","782.9494","0.0","0.0"
"232","785.2008","0.0","0.0"
"233","785.2008","0.0","0.0"
"234","785.8848","0.0384","0.0"
"235","785.8849","0.0384","0.0"
"236","785.8849","0.0384","0.0"
"237","787.0311","0.0","0.0"
"238","796.3068","0.0","0.0"
"239","796.3069","0.0","0.0"
"240","796.307","0.0","0.0"
"241","854.1816","0.0","0.0"
"242","854.1819","0.0","0.0"
"243","854.1821","0.0","0.0"
"244","860.6417","0.0","0.0"
"245","860.6418","0.0","0.0"
"246","860.7044","0.0","0.0"
"247","860.7046","0.0","0.0"
"248","860.7046","0.0","0.0"
"249","860.8042","0.0","0.0454"
"250","860.9407","0.2508","0.0"
"251","860.9407","0.2508","0.0"
"252","860.9407","0.2508","0.0"
"253","861.2574","0.0","0.0"
"254","861.2575","0.0","0.0"
"255","861.9081","0.0","0.0"
"256","863.1361","0.4619","0.0"
"257","863.1364","0.462","0.0"
"258","863.1365","0.462","0.0"
"259","892.2658","0.0","0.0"
"260","892.2661","0.0","0.0"
"261","892.2662","0.0","0.0"
"262","896.1928","0.0","0.0"
"263","896.1931","0.0","0.0"
"264","896.1932","0.0","0.0"
"265","900.94","0.0","0.0"
"266","901.1082","0.0","0.0"
"267","901.1088","0.0","0.0"
"268","901.1093","0.0","0.0"
"269","901.1847","0.0","0.0"
"270","901.1853","0.0","0.0"
"271","902.4344","0.0","0.0"
"272","902.6808","0.0","0.0"
"273","902.6814","0.0","0.0"
"274","902.6818","0.0","0.0"
"275","902.8735","0.0","0.0"
"276","902.8741","0.0","0.0"
"277","916.2976","0.0","0.0"
"278","916.2976","0.0","0.0"
"279","917.1828","0.0","0.0"
"280","917.1828","0.0","0.0"
"281","917.1828","0.0","0.0"
"282","919.1239","0.0","0.2118"
"283","929.2228","0.0","0.0"
"284","929.2229","0.0","0.0"
"285","929.2231","0.0","0.0"
"286","929.3682","0.0235","0.0"
"287","929.3683","0.0235","0.0"
"288","929.3684","0.0235","0.0"
"289","936.4454","0.0","0.0"
"290","936.4455","0.0","0.0"
"291","936.4456","0.0","0.0"
"292","936.5859","0.0","0.0"
"293","936.586","0.0","0.0"
"294","936.5861","0.0","0.0"
"295","963.3336","0.0","0.0"
"296","963.3336","0.0","0.0"
"297","964.0102","0.0058","0.0"
"298","964.0102","0.0058","0.0"
"299","964.0102","0.0058","0.0"
"300","965.4793","0.0","0.0"
"301","990.9676","0.0","0.0"
"302","990.9679","0.0","0.0"
"303","991.1905","0.0","0.0"
"304","991.1907","0.0","0.0"
"305","991.1909","0.0","0.0"
"306","991.4222","0.0","0.0"
"307","991.4225","0.0","0.0"
"308","991.5372","0.0042","0.0"
"309","991.5375","0.0042","0.0"
"310","991.5377","0.0042","0.0"
"311","991.6443","0.0","0.298"
"312","991.7504","0.0","0.0"
"313","999.8563","0.0","0.0"
"314","999.8566","0.0","0.0"
"315","999.8569","0.0","0.0"
"316","1000.2302","0.0001","0.0"
"317","1000.2305","0.0001","0.0"
"318","1000.2307","0.0001","0.0"
"319","1018.7915","0.0","0.0"
"320","1018.7917","0.0","0.0"
"321","1018.792","0.0","0.0"
"322","1019.032","0.0","0.0"
"323","1019.0322","0.0","0.0"
"324","1019.0325","0.0","0.0"
"325","1036.713","0.0","0.0"
"326","1036.7528","0.0","0.0"
"327","1036.7533","0.0","0.0"
"328","1036.7537","0.0","0.0"
"329","1036.7727","0.0","0.0"
"330","1036.7733","0.0","0.0"
"331","1038.3771","0.0","0.0"
"332","1038.4089","0.0","0.0"
"333","1038.4094","0.0","0.0"
"334","1038.4098","0.0","0.0"
"335","1038.4306","0.0","0.0"
"336","1038.4311","0.0","0.0"
"337","1141.4173","0.0","0.0"
"338","1141.4175","0.0","0.0"
"339","1141.4176","0.0","0.0"
"340","1141.5934","0.0113","0.0"
"341","1141.5936","0.0113","0.0"
"342","1141.5937","0.0113","0.0"
"343","1164.9991","0.0","0.0"
