"v / cm^-1","IR Intensity / AU","Raman Intensity / AU"
"-100.0","0.00037220431364514198","4.5421510265346548e-05"
"-99.0","0.00037407548703586051","4.5553648745239552e-05"
"-98.0","0.00037596364518184723","4.5686471994118204e-05"
"-97.0","0.00037786902084901031","4.5819985664422934e-05"
"-96.0","0.00037979185117869576","4.5954195477400299e-05"
"-95.0","0.00038173237779472072","4.6089107224238276e-05"
"-94.0","0.00038369084691372259","4.6224726767225289e-05"
"-93.0","0.00038566750945896294","4.6361060040933229e-05"
"-92.0","0.0003876626211777164","4.6498113053425326e-05"
"-91.0","0.00038967644276240046","4.6635891887489342e-05"
"-90.0","0.00039170923997557843","4.6774402701896687e-05"
"-89.0","0.00039376128377901077","4.6913651732688233e-05"
"-88.0","0.00039583285046690831","4.7053645294487514e-05"
"-87.0","0.00039792422180357385","4.7194389781841781e-05"
"-86.0","0.00040003568516560467","4.7335891670591882e-05"
"-85.0","0.00040216753368886246","4.7478157519271547e-05"
"-84.0","0.00040432006642040558","4.7621193970536854e-05"
"-83.0","0.0004064935884756081","4.7765007752626755e-05"
"-82.0","0.00040868841120068682","4.7909605680855227e-05"
"-81.0","0.00041090485234088675","4.8054994659136228e-05"
"-80.0","0.00041314323621456867","4.8201181681541903e-05"
"-79.0","0.00041540389389348344","4.8348173833895078e-05"
"-78.0","0.00041768716338950985","4.8495978295397324e-05"
"-77.0","0.00041999338984816012","4.8644602340292604e-05"
"-76.0","0.00042232292574918211","4.879405333956844e-05"
"-75.0","0.0004246761311145981","4.8944338762695017e-05"
"-74.0","0.00042705337372453905","4.9095466179403379e-05"
"-73.0","0.00042945502934127504","4.924744326150355e-05"
"-72.0","0.00043188148194183649","4.9400277784744278e-05"
"-71.0","0.00043433312395969219","4.9553977630714682e-05"
"-70.0","0.00043681035653592891","4.9708550788789488e-05"
"-69.0","0.00043931358978045157","4.9864005358118967e-05"
"-68.0","0.00044184324304373952","5.002034954966465e-05"
"-67.0","0.00044439974519973259","5.017759168828202e-05"
"-66.0","0.00044698353494046494","5.0335740214851821e-05"
"-65.0","0.00044959506108311519","5.0494803688460774e-05"
"-64.0","0.00045223478289018262","5.065479078863374e-05"
"-63.0","0.00045490317040355432","5.0815710317617964e-05"
"-62.0","0.00045760070479330424","5.0977571202721702e-05"
"-61.0","0.00046032787872209949","5.1140382498707961e-05"
"-60.0","0.00046308519672619519","5.1304153390245528e-05"
"-59.0","0.00046587317561405477","5.1468893194418468e-05"
