"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"185","881.0598","0.0","0.0"
"186","883.5974","0.0","0.0064"
"187","886.8205","0.0","0.0"
"188","887.0914","0.0","0.0"
"189","887.0919","0.0","0.0"
"190","887.0921","0.0","0.0"
"191","887.3842","0.0","0.0"
"192","887.3846","0.0","0.0"
"193","925.5911","0.0","0.0"
"194","925.5913","0.0","0.0"
"195","925.5916","0.0","0.0"
"196","925.8184","0.0208","0.0"
"197","925.8187","0.0208","0.0"
"198","925.8189","0.0208","0.0"
"199","961.4747","0.0","0.0"
"200","961.4748","0.0","0.0"
"201","962.34","0.013","0.0"
"202","962.3401","0.013","0.0"
"203","962.3401","0.013","0.0"
"204","964.2056","0.0","0.0"
"205","964.8645","0.0","0.0"
"206","964.8654","0.0","0.0"
"207","964.8659","0.0","0.0"
"208","966.823","0.0","0.0"
"209","966.8236","0.0","0.0"
"210","966.8244","0.0","0.0"
"211","993.8786","0.0","0.0"
"212","993.8788","0.0","0.0"
"213","994.0595","0.0","0.0"
"214","994.0598","0.0","0.0"
"215","994.0598","0.0","0.0"
"216","994.4993","0.0","0.159"
"217","1019.4999","0.0","0.0"
"218","1019.6128","0.0","0.0"
"219","1019.6132","0.0","0.0"
"220","1019.6134","0.0","0.0"
"221","1019.6591","0.0","0.0"
"222","1019.6594","0.0","0.0"
"223","1154.1166","0.0","0.0"
"224","1154.117","0.0","0.0"
"225","1154.1175","0.0","0.0"
"226","1154.8172","0.0","0.0"
"227","1154.8177","0.0","0.0"
"228","1154.818","0.0","0.0"
"229","1168.2297","0.0","0.0"
"230","1168.2302","0.0","0.0"
"231","1168.2303","0.0","0.0"
"232","1173.006","0.24","0.0"
"233","1173.0063","0.24","0.0"
"234","1173.0067","0.24","0.0"
"235","1182.0192","0.0","0.0"
"236","1182.0197","0.0","0.0"
"237","1182.0198","0.0","0.0"
"238","1185.96","0.0","0.0"
"239","1185.9603","0.0","0.0"
"240","1185.9607","0.0","0.0"
"241","1212.7314","0.0","0.0"
"242","1212.7315","0.0","0.0"
"243","1212.7317","0.0","0.0"
"244","1213.4102","0.001","0.0"
"245","1213.4104","0.001","0.0"
"246","1213.4105","0.001","0.0"
"247","1295.3048","0.0","0.0"
"248","1295.3049","0.0","0.0"
"249","1298.4017","0.5094","0.0"
"250","1298.4017","0.5094","0.0"
"251","1298.4018","0.5094","0.0"
"252","1309.5073","0.0","0.0"
"253","1334.2039","0.0","0.0"
"254","1334.204","0.0","0.0"
"255","1337.5342","0.0","0.0"
"256","1337.5342","0.0","0.0"
"257","1337.5343","0.0","0.0"
"258","1349.5898","0.0","0.434"
"259","1396.6372","0.0","0.0"
"260","1396.6373","0.0","0.0"
"261","1396.6374","0.0","0.0"
"262","1397.1035","0.0","0.0"
"263","1397.1036","0.0","0.0"
"264","1397.1037","0.0","0.0"
"265","1409.7284","0.0","0.0"
"266","1409.7284","0.0","0.0"
"267","1411.1381","0.1703","0.0"
"268","1411.1381","0.1703","0.0"
"269","1411.1382","0.1703","0.0"
"270","1417.258","0.0","0.0"
"271","1421.8507","0.0","0.0"
"272","1421.8509","0.0","0.0"
"273","1421.8511","0.0","0.0"
"274","1422.1579","0.0287","0.0"
"275","1422.1581","0.0287","0.0"
"276","1422.1582","0.0287","0.0"
"277","1488.827","0.0","0.0"
"278","1488.8271","0.0","0.0"
"279","1489.1058","0.0","0.0"
"280","1489.1059","0.0","0.0"
"281","1489.1059","0.0","0.0"
"282","1490.1581","0.0","0.0754"
"283","1614.075","0.0","0.0"
"284","1614.0751","0.0","0.0"
"285","1614.0751","0.0","0.0"
"286","1615.2617","0.0","0.0"
"287","1615.2618","0.0","0.0"
"288","1615.2618","0.0","0.0"
"289","1627.53","0.751","0.0"
"290","1627.53","0.751","0.0"
"291","1627.5302","0.751","0.0"
"292","1627.5558","0.0","0.0"
"293","1627.5558","0.0","0.0"
"294","1627.5559","0.0","0.0"
"295","2944.1317","0.0","0.0"
"296","2944.1317","0.0","0.0"
"297","2944.1317","0.0","0.0"
"298","2944.2992","0.0","0.0"
"299","2944.2992","0.0","0.0"
"300","2944.2992","0.0","0.0"
"301","2944.3372","0.0","0.0"
"302","2944.3372","0.0","0.0"
"303","2944.3372","0.0","0.0"
"304","2944.4224","0.096","0.0"
"305","2944.4224","0.096","0.0"
"306","2944.4224","0.096","0.0"
"307","2944.4956","0.0","0.0"
"308","2944.4956","0.0","0.0"
"309","2944.7381","0.0039","0.0"
"310","2944.7381","0.0039","0.0"
"311","2944.7382","0.0039","0.0"
"312","2944.7802","0.0","0.0"
"313","2945.6954","0.0","0.0"
"314","2945.6954","0.0","0.0"
"315","2945.7544","0.0","0.0"
"316","2945.7544","0.0","0.0"
"317","2945.7544","0.0","0.0"
"318","2945.9262","0.0","8.18"
