"v / cm^-1","IR Intensity / AU","Raman Intensity / AU"
"-100.0","0.00036636862118008496","5.404029687441776e-05"
"-99.0","0.00036823384417844165","5.4195353887171844e-05"
"-98.0","0.00037011588068358543","5.4351169440075931e-05"
"-97.0","0.00037201495599789586","5.4507749176146967e-05"
"-96.0","0.00037393129951025241","5.466509879858162e-05"
"-95.0","0.00037586514479086047","5.4823224071627199e-05"
"-94.0","0.00037781672968878553","5.498213082146878e-05"
"-93.0","0.00037978629643229409","5.5141824937132811e-05"
"-92.0","0.00038177409173209461","5.5302312371407624e-05"
"-91.0","0.00038378036688757941","5.5463599141781219e-05"
"-90.0","0.00038580537789617342","5.5625691331396762e-05"
"-89.0","0.00038784938556589627","5.5788595090026134e-05"
"-88.0","0.0003899126556312553","5.5952316635062085e-05"
"-87.0","0.00039199545887257987","5.6116862252529179e-05"
"-86.0","0.00039409807123893235","5.6282238298114146e-05"
"-85.0","0.00039622077397471144","5.6448451198216226e-05"
"-84.0","0.00039836385375008625","5.661550745101758e-05"
"-83.0","0.00040052760279540584","5.6783413627574562e-05"
"-82.0","0.00040271231903971913","5.6952176372930352e-05"
"-81.0","0.00040491830625356362","5.712180240724915e-05"
"-80.0","0.00040714587419618081","5.7292298526972869e-05"
"-79.0","0.00040939533876731943","5.7463671606000443e-05"
"-78.0","0.00041166702216380107","5.7635928596890652e-05"
"-77.0","0.00041396125304102673","5.7809076532088848e-05"
"-76.0","0.0004162783666796141","5.7983122525178036e-05"
"-75.0","0.00041861870515735817","5.815807377215533e-05"
"-74.0","0.00042098261752672309","5.8333937552733832e-05"
"-73.0","0.00042337045999807539","5.8510721231671059e-05"
"-72.0","0.0004257825961288875","5.8688432260124333e-05"
"-71.0","0.00042821939701914014","5.8867078177033664e-05"
"-70.0","0.00043068124151317277","5.9046666610533215e-05"
"-69.0","0.00043316851640823529","5.922720527939163e-05"
"-68.0","0.00043568161667000932","5.9408701994482242e-05"
"-67.0","0.00043822094565538295","5.95911646602838e-05"
"-66.0","0.00044078691534276537","5.9774601276412361e-05"
"-65.0","0.00044337994657026085","5.9959019939185441e-05"
"-64.0","0.00044600046928201174","6.0144428843218998e-05"
"-63.0","0.00044864892278306026","6.0330836283058035e-05"
"-62.0","0.0004513257560030749","6.0518250654842035e-05"
"-61.0","0.00045403142776932021","6.0706680458005749e-05"
"-60.0","0.00045676640708925597","6.0896134297016326e-05"
"-59.0","0.00045953117344317752","6.1086620883147986e-05"
"-58.0","0.00046232621708733074","6.1278149036294894e-05"
"-57.0","0.00046515203936794313","6.1470727686823402e-05"
"-56.0","0.00046800915304666234","6.1664365877464649e-05"
"-55.0","0.00047089808263788658","6.1859072765248598e-05"
"-54.0","0.00047381936475851907","6.2054857623480709e-05"
"-53.0","0.00047677354849070121","6.225172984376203e-05"
"-52.0","0.00047976119575809527","6.2449698938054309e-05"
"-51.0","0.00048278288171634405","6.2648774540791205e-05"
"-50.0","0.0004858391951583372","6.2848966411036623e-05"
"-49.0","0.00048893073893496817","6.3050284434691567e-05"
"-48.0","0.00049205813039210409","6.3252738626751149e-05"
"-47.0","0.00049522200182450856","6.3456339133612493e-05"
"-46.0","0.00049842300094752473","6.3661096235435581e-05"
"-45.0","0.00050166179138735499","6.3867020348557993e-05"
"-44.0","0.00050493905319081757","6.4074122027965434e-05"
"-43.0","0.00050825548335552064","6.4282411969819253e-05"
"-42.0","0.0005116117963814453","6.4491901014042703e-05"
"-41.0","0.00051500872484497111","6.4702600146967839e-05"
"-40.0","0.00051844701999645957","6.4914520504044158e-05"
"-39.0","0.00052192745238255898","6.5127673372611307e-05"
"-38.0","0.00052545081249446418","6.5342070194737459e-05"
"-37.0","0.00052901791144344514","6.5557722570125203e-05"
"-36.0","0.0005326295816650286","6.577464225908684e-05"
"-35.0","0.00053628667765330171","6.5992841185591317e-05"
"-34.0","0.00053999007672689281","6.6212331440384587e-05"
"-33.0","0.00054374067982828863","6.6433125284185809e-05"
"-32.0","0.00054753941235823392","6.6655235150961235e-05"
"-31.0","0.000551387225047076","6.6878673651278659e-05"
"-30.0","0.00055528509486504137","6.7103453575743965e-05"
"-29.0","0.00055923402597352968","6.7329587898523163e-05"
"-28.0","0.00056323505071967383","6.7557089780951571e-05"
"-27.0","0.00056728923067653615","6.7785972575233486e-05"
"-26.0","0.00057139765773148079","6.8016249828234455e-05"
"-25.0","0.00057556145522540418","6.8247935285369442e-05"
"-24.0","0.00057978177914570609","6.8481042894589435e-05"
